Time period:,7days
Total Problem Count,528

Problem Name,Problem Count,Problems/Day
MOBILE_APPLICATION-773D0C09E8E14B58,easyTravel Mobile (mainframe),6,0.8571428571428571
HOST-86E98F7E966EA327,BB1-apache-tomcatjms-iis,6,0.8571428571428571
SERVICE-5D9410CAE2596DC4,"[alfa, beta][hipster-shop] hipstershop.CurrencyService (grpc://hipstershop.CurrencyService)",6,0.8571428571428571
CLOUD_APPLICATION-CF61513C57EC1CDA,cartservice,4,0.5714285714285714
SERVICE-09D43A941D7C9853,azure CustomerFrontendREST,4,0.5714285714285714
SERVICE-E19494D4DBC0AB73,gcp EasytravelService,3,0.42857142857142855
SERVICE-B003F4C7F8B12B37,Remote environment: wkf10640,3,0.42857142857142855
CUSTOM_APPLICATION-57E7CD6BEF284AB7,easyTravel Rental Cars,2,0.2857142857142857
SYNTHETIC_TEST-44957D6F2FCB30D6,www.vmware.easytravel.com - Loading of page /logout.jsf,2,0.2857142857142857
SYNTHETIC_TEST-05FC3819394492D6,www.vmware.easytravel.com - Loading of page /,2,0.2857142857142857
SYNTHETIC_TEST-11FF04AEF53D8A76,www.vmware.easytravel.com - Longer stay on page /about-orange.jsf,2,0.2857142857142857
CLOUD_APPLICATION-148DF7A99F8864BC,dynatrace-operator,2,0.2857142857142857
SERVICE-92A8828FAC7B63A1,azure weather-service-restify,2,0.2857142857142857
CUSTOM_DEVICE-1A912CCFB757F305,user-info-service-staging,2,0.2857142857142857
SERVICE-5A85D84009FF961A,[gke][online-boutique] hipstershop.CheckoutService (grpc://hipstershop.CheckoutService),1,0.14285714285714285
SERVICE-AAC5A186F0DBAD44,gcp easyTravel Customer Frontend,1,0.14285714285714285
HOST-9A971B640DBAF512,gke-alfa-e2-custom-2-4096-f061c10c-kiy1.c.dynatrace-demoability.internal,1,0.14285714285714285
SERVICE-D1E696F1780F424E,easytravelazure-sql-db,1,0.14285714285714285
SYNTHETIC_TEST-4887215C9CBB9A91,weather.azure.easytravel.com - Loading of page /forecast,1,0.14285714285714285
SYNTHETIC_TEST-1E3A1FA70C1A890E,weather.azure.easytravel.com - Loading of page /current,1,0.14285714285714285
SERVICE-692BB5794D36C3E2,azure weather-express,1,0.14285714285714285
SERVICE-44A6421D6912133B,azure easytravelazure-weather-express,1,0.14285714285714285
SERVICE-26658AFDFD63CA1D,DBCG,1,0.14285714285714285
SERVICE-7C7966FB9A6B8D9D,[eks][easytrade] easyTradeManager,1,0.14285714285714285
SERVICE-C41099E341F52799,quoteservice,1,0.14285714285714285
HOST-EC446B31654A166E,gke-beta-e2-custom-2-4096-cdc84104-2l8d.c.dynatrace-demoability.internal,1,0.14285714285714285
